station_canton,year,HDD_mean,CDD_mean,n_stations
BE,2008,3941.1,0.10000000000000013,11
BE,2009,3869.109090909091,0.2363636363636365,11
BE,2010,4246.554545454545,0.5090909090909093,11
BE,2011,3577.4,0.5909090909090913,11
BE,2012,3380.9692307692308,0.16153846153846166,13
BE,2013,4066.6000000000004,2.138461538461539,13
BE,2014,3527.8615384615387,0.0,13
BE,2015,3414.3066666666664,8.28,15
BE,2016,3785.3533333333335,0.28666666666666696,15
BE,2017,3746.3533333333335,1.7533333333333339,15
BE,2018,3428.9933333333333,2.013333333333334,15
BE,2019,3622.1133333333332,6.946666666666668,15
BE,2020,3481.673333333333,0.5533333333333339,15
BE,2021,3880.0466666666666,0.0,15
BE,2022,3308.233333333333,2.833333333333334,15
BE,2023,3359.0133333333333,4.12,15
BE,2024,3406.92,0.13333333333333358,15
BL,2000,2715.8,1.75,2
BL,2001,3039.6499999999996,1.0999999999999996,2
BL,2002,2828.3999999999996,5.750000000000002,2
BL,2003,3059.35,55.35,2
BL,2004,3137.3999999999996,0.799999999999999,2
BL,2005,3187.55,7.150000000000001,2
BL,2006,3045.3500000000004,16.999999999999996,2
BL,2007,2835.4,3.2499999999999982,2
BL,2008,3046.3,1.549999999999999,2
BL,2009,2963.95,3.6499999999999986,2
BL,2010,3386.6000000000004,8.299999999999997,2
BL,2011,2680.95,10.399999999999999,2
BL,2012,3007.3,8.699999999999998,2
BL,2013,3250.55,17.85,2
BL,2014,2588.15,5.949999999999999,2
BL,2015,2799.95,44.45,2
BL,2016,3023.1,9.5,2
BL,2017,2937.8999999999996,17.050000000000004,2
BL,2018,2663.6499999999996,25.0,2
BL,2019,2815.5,31.150000000000006,2
BL,2020,2618.8,16.6,2
BL,2021,3057.3,3.1000000000000014,2
BL,2022,2519.8,25.950000000000003,2
BL,2023,2524.05,18.6,2
BL,2024,2640.85,9.75,2
BS,2000,2858.9,0.0,1
BS,2001,3189.4,0.0,1
BS,2002,2968.1,2.299999999999997,1
BS,2003,3103.8,29.6,1
BS,2004,3339.3,0.0,1
BS,2005,3288.0,0.6000000000000014,1
BS,2006,3239.8,3.799999999999997,1
BS,2007,2966.4,0.0,1
BS,2008,3221.5,0.0,1
BS,2009,3156.0,0.6999999999999993,1
BS,2010,3095.7,0.1000000000000014,1
FL,2000,2736.5,11.5,1
FL,2001,2959.1,7.400000000000002,1
FL,2002,2701.4,7.200000000000003,1
FL,2003,2971.0,41.400000000000006,1
FL,2004,3070.4,1.6999999999999993,1
FL,2005,3224.5,7.699999999999999,1
FL,2006,3036.9,13.199999999999996,1
FL,2007,2827.0,11.099999999999998,1
FL,2008,2880.5,5.699999999999999,1
FL,2009,2820.0,8.7,1
FL,2010,3139.0,14.300000000000004,1
FL,2011,2651.6,14.100000000000003,1
FL,2012,2866.5,14.4,1
FL,2013,3140.0,25.000000000000007,1
FL,2014,2425.2,8.699999999999996,1
FL,2015,2814.3,40.99999999999999,1
FL,2016,2808.7,4.700000000000003,1
FL,2017,2864.7,23.90000000000001,1
FL,2018,2453.8,13.2,1
FL,2019,2635.3,32.9,1
FL,2020,2621.9,6.000000000000004,1
FL,2021,2944.7,7.199999999999999,1
FL,2022,2475.5,23.4,1
FL,2023,2473.8,33.0,1
FL,2024,2490.6,18.4,1
FR,2000,4134.266666666666,0.0,3
FR,2001,4319.400000000001,0.0,3
FR,2002,4139.900000000001,0.4666666666666662,3
FR,2003,4119.0,4.966666666666665,3
FR,2004,4388.966666666666,0.0,3
FR,2005,4236.599999999999,0.39999999999999974,3
FR,2006,3455.1,1.0333333333333325,3
FR,2007,4160.433333333333,0.0,3
FR,2008,4332.766666666666,0.3333333333333333,3
FR,2009,4193.233333333334,0.0,3
FR,2010,4615.233333333334,0.2333333333333331,3
FR,2011,3841.866666666667,0.0333333333333338,3
FR,2012,4204.266666666666,0.13333333333333403,3
FR,2013,4443.3,1.1000000000000014,3
FR,2014,3393.2,0.0,4
FR,2015,3772.75,11.5,4
FR,2016,3990.825,0.07500000000000018,4
FR,2017,3935.275,2.749999999999999,4
FR,2018,3640.6,0.8750000000000001,4
FR,2019,3816.1000000000004,7.875000000000003,4
FR,2020,3615.475,1.3750000000000009,4
FR,2021,4052.9750000000004,0.0,4
FR,2022,3433.5,4.650000000000001,4
FR,2023,3529.6000000000004,5.550000000000001,4
FR,2024,3572.475,0.10000000000000053,4
GE,2000,2500.5,5.5,1
GE,2001,2726.0,1.2000000000000028,1
GE,2002,2551.5,15.800000000000004,1
GE,2003,2774.3,86.9,1
GE,2004,2712.3,3.1000000000000014,1
GE,2005,2928.9,21.9,1
GE,2006,2775.6,22.700000000000006,1
GE,2007,2640.8,1.5,1
GE,2008,2825.9,5.899999999999999,1
GE,2009,2723.3,9.5,1
GE,2010,3098.1,12.0,1
GE,2011,2567.5,5.300000000000001,1
GE,2012,2811.2,9.000000000000007,1
GE,2013,3050.7,9.500000000000004,1
GE,2014,2416.0,0.0,1
GE,2015,2686.1,56.400000000000006,1
GE,2016,2795.6,6.099999999999998,1
GE,2017,2799.9,31.3,1
GE,2018,2426.7,19.4,1
GE,2019,2589.0,34.099999999999994,1
GE,2020,2463.9,23.7,1
GE,2021,2778.7,1.5,1
GE,2022,2359.9,52.6,1
GE,2023,2370.9,49.2,1
GE,2024,2479.9,12.5,1
GL,2000,3518.0,1.25,2
GL,2001,3729.3,0.799999999999999,2
GL,2002,3462.3500000000004,0.950000000000001,2
GL,2003,3600.05,6.699999999999998,2
GL,2004,3816.45,0.0,2
GL,2005,3951.95,0.1999999999999993,2
GL,2006,3666.15,1.4000000000000021,2
GL,2007,3560.25,1.0999999999999999,2
GL,2008,3623.95,0.8000000000000007,2
GL,2009,3589.4,0.1999999999999993,2
GL,2010,3958.95,1.6500000000000004,2
GL,2011,3406.75,0.25,2
GL,2012,3717.6499999999996,0.4499999999999993,2
GL,2013,3883.25,3.7499999999999982,2
GL,2014,3258.15,0.0,2
GL,2015,3484.2,6.75,2
GL,2016,3523.15,0.0,2
GL,2017,3645.95,1.6500000000000004,2
GL,2018,3176.55,4.0,2
GL,2019,3418.55,5.1,2
GL,2020,3340.3,0.15000000000000036,2
GL,2021,3758.05,0.0,2
GL,2022,3192.8999999999996,2.349999999999998,2
GL,2023,3246.35,3.0999999999999996,2
GL,2024,3206.4,0.0,2
GR,2000,5279.488888888889,0.3333333333333333,18
GR,2001,5454.788888888888,0.6500000000000001,18
GR,2002,5208.633333333333,0.994444444444444,18
GR,2003,5242.116666666667,11.283333333333333,18
GR,2004,5433.533333333334,0.8277777777777781,18
GR,2005,5594.172222222222,2.161111111111112,18
GR,2006,5226.7444444444445,2.4055555555555554,18
GR,2007,5165.483333333334,1.1388888888888888,18
GR,2008,5061.7947368421055,1.5526315789473681,19
GR,2009,5252.126315789474,0.7052631578947369,19
GR,2010,5444.631578947368,2.2052631578947373,19
GR,2011,4664.5,0.7950000000000002,20
GR,2012,5234.735,1.95,20
GR,2013,5261.880952380952,1.0047619047619045,21
GR,2014,4690.352173913044,0.18260869565217389,23
GR,2015,4504.742307692308,2.588461538461539,26
GR,2016,4944.926923076923,0.057692307692307696,26
GR,2017,4947.665384615385,0.7038461538461542,26
GR,2018,4670.238461538462,0.8346153846153845,26
GR,2019,4845.657692307693,2.030769230769231,26
GR,2020,4764.7307692307695,0.22307692307692323,26
GR,2021,5159.9346153846145,0.1884615384615384,26
GR,2022,4569.242307692308,1.446153846153846,26
GR,2023,4599.473076923077,1.8346153846153845,26
GR,2024,4602.376923076923,0.9923076923076922,26
JU,2000,2942.8,0.6499999999999986,2
JU,2001,3211.4,0.0,2
JU,2002,3000.05,3.1500000000000004,2
JU,2003,3162.3,37.5,2
JU,2004,3298.2,0.09999999999999964,2
JU,2005,3371.8,2.150000000000002,2
JU,2006,3172.5,9.849999999999998,2
JU,2007,3018.2,0.6999999999999994,2
JU,2008,3227.8500000000004,0.09999999999999964,2
JU,2009,3108.5,1.3499999999999996,2
JU,2010,3518.45,3.6999999999999993,2
JU,2011,2805.65,4.949999999999999,2
JU,2012,3221.8500000000004,4.499999999999998,2
JU,2013,3470.65,5.350000000000001,2
JU,2014,2846.9,0.4499999999999993,2
JU,2015,3032.6,25.450000000000003,2
JU,2016,3238.6,3.1499999999999986,2
JU,2017,3160.6000000000004,6.049999999999999,2
JU,2018,2845.1499999999996,9.149999999999999,2
JU,2019,3025.7,19.199999999999996,2
JU,2020,2801.3,7.35,2
JU,2021,3242.35,0.0,2
JU,2022,2705.3999999999996,11.899999999999999,2
JU,2023,2673.95,9.2,2
JU,2024,2837.45,2.6999999999999975,2
LU,2000,2903.0,0.0,1
LU,2001,3074.3,1.3000000000000007,1
LU,2002,2887.1,7.700000000000003,1
LU,2003,3130.4,27.9,1
LU,2004,3136.7,0.0,1
LU,2005,3253.3,4.299999999999997,1
LU,2006,3098.4,9.799999999999995,1
LU,2007,2878.7,1.1000000000000014,1
LU,2008,3113.8,1.0,1
LU,2009,3011.1,1.3999999999999986,1
LU,2010,2104.866666666667,0.6333333333333327,3
LU,2011,3096.6666666666665,1.2000000000000004,3
LU,2012,2796.6000000000004,0.6250000000000009,4
LU,2013,3463.925,5.225000000000001,4
LU,2014,2945.4,0.0500000000000007,4
LU,2015,2971.62,14.560000000000002,5
LU,2016,3389.9,1.0399999999999998,5
LU,2017,3363.8599999999997,5.040000000000002,5
LU,2018,3044.5199999999995,6.859999999999999,5
LU,2019,3231.62,13.040000000000003,5
LU,2020,3110.52,1.1200000000000003,5
LU,2021,3507.94,0.3999999999999993,5
LU,2022,2926.62,5.340000000000001,5
LU,2023,2953.34,6.919999999999999,5
LU,2024,3055.4,0.4599999999999994,5
NE,2000,3588.1800000000003,0.1,5
NE,2001,3789.1399999999994,0.3,5
NE,2002,3582.2,2.1799999999999997,5
NE,2003,3728.3,14.020000000000001,5
NE,2004,3859.6,0.16000000000000014,5
